title,year,director,music_director,votes
"RRR","2022","S. S. Rajamouli","M.M. Keeravaani","1693"
"Bāhubali: The Beginning","2015","S. S. Rajamouli","M.M. Keeravaani","960"
"Bāhubali 2: The Conclusion","2017","S. S. Rajamouli","M.M. Keeravaani","883"
"Eega","2012","S. S. Rajamouli","M.M. Keeravaani","266"
"Devara: Part 1","2024","Koratala Siva","Anirudh Ravichander","225"
"Pushpa: The Rise","2021","Sukumar","Devi Sri Prasad","205"
"Kalki 2898-AD","2024","Nag Ashwin","Santhosh Narayanan","198"
"Pushpa 2 - The Rule","2024","Sukumar","Devi Sri Prasad","164"
"Magadheera","2009","S. S. Rajamouli","M.M. Keeravaani","151"
"V","2020","Mohana Krishna Indraganti","Amit Trivedi","132"
"Salaar: Part 1 - Ceasefire","2023","Prashanth Neel","Ravi Basrur","126"
"Arjun Reddy","2017","Sandeep Reddy Vanga","Radhan","123"
"Sita Ramam","2022","Hanu Raghavapudi","Vishal Chandrasekhar","118"
"Saaho","2019","Sujeeth","Ehsaan Noorani","117"
"Ala Vaikunthapurramuloo","2020","Trivikram Srinivas","S. Thaman","117"
"Lucky Baskhar","2024","Venky Atluri","G. V. Prakash Kumar","103"
"1: Nenokkadine","2014","Sukumar","Devi Sri Prasad","102"
"Geetha Govindam","2018","Parasuram Petla","Gopi Sundar","86"
"Rangasthalam","2018","Sukumar","Devi Sri Prasad","85"
"Athadu","2005","Trivikram Srinivas","Mani Sharma","80"
"Jersey","2019","Gowtam Tinnanuri","Anirudh Ravichander","79"
"Pokiri","2006","Puri Jagannadh","Mani Sharma","76"
"Yevadu","2014","Vamshi Paidipally","Devi Sri Prasad","75"
"Bharat Ane Nenu","2018","Koratala Siva","Devi Sri Prasad","75"
"Hi Nanna","2023","Shouryuv","Hesham Abdul Wahab","74"
"Race Gurram","2014","Surender Reddy","S. Thaman","70"
"DJ: Duvvada Jagannadham","2017","Harish Shankar","Devi Sri Prasad","70"
"Son of Satyamurthy","2015","Trivikram Srinivas","Devi Sri Prasad","69"
"Khaleja","2010","Trivikram Srinivas","Mani Sharma","69"
"Mahanati","2018","Nag Ashwin","Mickey J Meyer","67"
"Srimanthudu","2015","Koratala Siva","Devi Sri Prasad","66"
"Businessman","2012","Puri Jagannadh","S. Thaman","66"
"Manam","2014","Vikram Kumar","Anup Rubens","64"
"Sarileru Neekevvaru","2020","Anil Ravipudi","Devi Sri Prasad","64"
"Agent Sai Srinivasa Athreya","2019","Swaroop RSJ","Mark K. Robin","64"
"Rebel","2012","Raghava Lawrence","Raghava Lawrence","62"
"HIT: The Third Case","2025","Sailesh Kolanu","Mickey J Meyer","61"
"Red","2021","Kishore Tirumala","Mani Sharma","61"
"HIT: The First Case","2020","Sailesh Kolanu","Vivek Sagar","59"
"Sarrainodu","2016","Boyapati Srinu","S. Thaman","55"
"Dookudu","2011","Sreenu Vaitla","S. Thaman","55"
"Aarya 2","2009","Sukumar","Devi Sri Prasad","54"
"Oopiri","2016","Vamshi Paidipally","Gopi Sundar","54"
"Janatha Garage","2016","Koratala Siva","Devi Sri Prasad","53"
"Goodachari","2018","Sashi Kiran Tikka","Sricharan Pakala","52"
